RAND_MAX: 2147483647
NUM_MAX:  500000000
UINT_MAX: 4294967295
Semilla:  1

79) Numero: 24278, Intentos: 1000063657, Tiempo: 266.936695, Proceso: 6
80) Numero: 8775, Intentos: 50490712, Tiempo: 13.307475, Proceso: 6
81) Numero: 22548, Intentos: 1012232261, Tiempo: 263.238949, Proceso: 3
82) Numero: 54325, Intentos: 805341912, Tiempo: 214.613186, Proceso: 1
83) Numero: 91642, Intentos: 36147740, Tiempo: 9.705139, Proceso: 1
84) Numero: 54897, Intentos: 727360832, Tiempo: 190.919872, Proceso: 2
85) Numero: 54145, Intentos: 187723352, Tiempo: 51.455571, Proceso: 1
86) Numero: 12055, Intentos: 111456713, Tiempo: 30.970230, Proceso: 1
87) Numero: 22478, Intentos: 1089771678, Tiempo: 287.522575, Proceso: 4
88) Numero: 6254, Intentos: 404450331, Tiempo: 108.138192, Proceso: 2
89) Numero: 54807, Intentos: 123172943, Tiempo: 33.224133, Proceso: 4
90) Numero: 21478, Intentos: 134572884, Tiempo: 36.522519, Proceso: 1
91) Numero: 8775, Intentos: 50490712, Tiempo: 13.907314, Proceso: 4
92) Numero: 25699, Intentos: 874723435, Tiempo: 239.993933, Proceso: 5
93) Numero: 12541, Intentos: 234313392, Tiempo: 65.097726, Proceso: 1
94) Numero: 22541, Intentos: 904899079, Tiempo: 252.311963, Proceso: 6
95) Numero: 42548, Intentos: 217626359, Tiempo: 58.932584, Proceso: 4
96) Numero: 54135, Intentos: 143698113, Tiempo: 40.746274, Proceso: 1
97) Numero: 32548, Intentos: 1060631737, Tiempo: 270.839891, Proceso: 3
98) Numero: 92642, Intentos: 482905905, Tiempo: 123.710049, Proceso: 5
99) Numero: 15699, Intentos: 1057447314, Tiempo: 264.704579, Proceso: 2
100) Numero: 5254, Intentos: 2515768767, Tiempo: 652.491734, Proceso: 7
Intentos Acumulados: 42206944176 
Tiempo Acumulado:    10728.003393   
Tiempo Total:        1691.146348   
Max Intentos:        2798133238 
Max Tiempo:          652.491734   

