RAND_MAX: 2147483647
NUM_MAX:  500000000
UINT_MAX: 4294967295
Semilla:  1

1) Numero: 5487, Intentos: 90925802, Tiempo: 24.107493, Proceso: 4
2) Numero: 54125, Intentos: 92192955, Tiempo: 25.021991, Proceso: 10
3) Numero: 14282, Intentos: 40893529, Tiempo: 11.387322, Proceso: 10
4) Numero: 12255, Intentos: 148268452, Tiempo: 39.320336, Proceso: 2
5) Numero: 12540, Intentos: 142787616, Tiempo: 39.881351, Proceso: 7
6) Numero: 95699, Intentos: 8402027, Tiempo: 2.109326, Proceso: 2
7) Numero: 12549, Intentos: 137325, Tiempo: 0.066499, Proceso: 2
8) Numero: 54387, Intentos: 44511428, Tiempo: 12.505083, Proceso: 10
9) Numero: 13255, Intentos: 113149291, Tiempo: 29.134772, Proceso: 4
10) Numero: 1254, Intentos: 242134464, Tiempo: 65.034614, Proceso: 1
11) Numero: 87375, Intentos: 95206132, Tiempo: 26.892289, Proceso: 7
12) Numero: 1478, Intentos: 286575772, Tiempo: 74.051548, Proceso: 3
13) Numero: 54125, Intentos: 92192955, Tiempo: 23.859440, Proceso: 4
14) Numero: 96602, Intentos: 171368506, Tiempo: 47.745376, Proceso: 10
15) Numero: 12, Intentos: 402559611, Tiempo: 107.399326, Proceso: 11
16) Numero: 87475, Intentos: 45404815, Tiempo: 11.673108, Proceso: 11
17) Numero: 80775, Intentos: 463214330, Tiempo: 128.249764, Proceso: 6
18) Numero: 96042, Intentos: 559475142, Tiempo: 145.334597, Proceso: 9
19) Numero: 25148, Intentos: 573150457, Tiempo: 154.531846, Proceso: 8
20) Numero: 85699, Intentos: 235610159, Tiempo: 64.080580, Proceso: 10
21) Numero: 96942, Intentos: 65527625, Tiempo: 17.796248, Proceso: 9
22) Numero: 50699, Intentos: 608871617, Tiempo: 165.686736, Proceso: 5
23) Numero: 21548, Intentos: 138783999, Tiempo: 39.963568, Proceso: 6
24) Numero: 24782, Intentos: 400130984, Tiempo: 101.946369, Proceso: 3
25) Numero: 54817, Intentos: 137438116, Tiempo: 38.302788, Proceso: 6
26) Numero: 12548, Intentos: 329291133, Tiempo: 92.182686, Proceso: 11
27) Numero: 2548, Intentos: 672803005, Tiempo: 176.900934, Proceso: 2
28) Numero: 154, Intentos: 363528447, Tiempo: 94.367550, Proceso: 10
29) Numero: 75699, Intentos: 310496502, Tiempo: 79.948451, Proceso: 3
30) Numero: 52487, Intentos: 755104005, Tiempo: 205.185760, Proceso: 4
