Agente,Módulo,Datos,Fecha/Hora
"ldap1","bytes_in","0.00","2015-05-12 11:56:26"
"ldap1","bytes_in","0.01","2015-05-12 11:57:46"
"ldap1","bytes_in","0.00","2015-05-12 11:59:52"
"ldap1","bytes_in","0.02","2015-05-12 12:01:53"
"ldap1","bytes_in","0.06","2015-05-12 12:06:56"
"ldap1","bytes_in","0.32","2015-05-12 12:12:00"
"ldap1","bytes_in","0.99","2015-05-12 12:17:03"
"ldap1","bytes_in","1.09","2015-05-12 12:22:07"
"ldap1","bytes_in","1.72","2015-05-12 12:36:47"
"ldap1","bytes_in","0.15","2015-05-12 12:41:51"
"ldap1","bytes_in","0.14","2015-05-12 12:46:54"
"ldap1","bytes_in","2.50","2015-05-12 12:51:58"
"ldap1","bytes_in","0.04","2015-05-12 12:57:02"
"ldap1","bytes_in","2.22","2015-05-12 13:02:05"
"ldap1","bytes_in","2.50","2015-05-12 13:07:10"
"ldap1","bytes_in","0.16","2015-05-12 13:12:13"
"ldap1","bytes_in","0.17","2015-05-12 13:17:18"
"ldap1","bytes_in","0.06","2015-05-12 13:22:21"
"ldap1","bytes_in","0.10","2015-05-12 13:27:25"
"ldap1","bytes_in","0.09","2015-05-12 13:32:29"
"ldap1","bytes_in","0.07","2015-05-12 13:37:32"
"ldap1","bytes_in","0.51","2015-05-12 13:47:40"
"ldap1","bytes_in","0.27","2015-05-12 13:52:43"
"ldap1","bytes_in","0.04","2015-05-12 13:57:47"
"ldap1","bytes_in","0.11","2015-05-12 14:02:50"
"ldap1","bytes_in","0.08","2015-05-12 14:07:54"
"ldap1","bytes_in","2.27","2015-05-12 14:12:57"
"ldap1","bytes_in","0.10","2015-05-12 14:18:01"
"ldap1","bytes_in","0.13","2015-05-12 14:23:05"
"ldap1","bytes_in","0.03","2015-05-12 14:28:08"
"ldap1","bytes_in","0.01","2015-05-12 14:33:12"
"ldap1","bytes_in","0.04","2015-05-12 14:43:19"
"ldap1","bytes_in","0.05","2015-05-12 14:48:22"
"ldap1","bytes_in","0.01","2015-05-12 14:53:26"
"ldap1","bytes_in","0.07","2015-05-12 14:58:29"
"ldap1","bytes_in","0.01","2015-05-12 15:03:33"
"ldap1","bytes_in","0.02","2015-05-12 15:08:36"
"ldap1","bytes_in","1.81","2015-05-12 15:13:40"
"ldap1","bytes_in","0.07","2015-05-12 15:18:43"
"ldap1","bytes_in","0.05","2015-05-12 15:23:47"
"ldap1","bytes_in","1.33","2015-05-12 15:28:51"
"ldap1","bytes_in","0.65","2015-05-12 15:33:55"
"ldap1","bytes_in","2.34","2015-05-12 15:38:59"
"ldap1","bytes_in","1.41","2015-05-12 15:44:02"
"ldap1","bytes_in","0.08","2015-05-12 15:49:06"
"ldap1","bytes_in","0.32","2015-05-12 15:54:09"
"ldap1","bytes_in","0.48","2015-05-12 15:59:13"
"ldap1","bytes_in","0.64","2015-05-12 16:04:17"
"ldap1","bytes_in","0.13","2015-05-12 16:09:21"
"ldap1","bytes_in","2.53","2015-05-12 16:14:25"
"ldap1","bytes_in","1.76","2015-05-12 16:19:28"
"ldap1","bytes_in","0.22","2015-05-12 16:24:32"
"ldap1","bytes_in","0.66","2015-05-12 16:29:36"
"ldap1","bytes_in","4.50","2015-05-12 16:34:39"
"ldap1","bytes_in","0.38","2015-05-12 16:39:43"
"ldap1","bytes_in","0.42","2015-05-12 16:44:46"
"ldap1","bytes_in","1.22","2015-05-12 16:49:50"
"ldap1","bytes_in","0.85","2015-05-12 16:54:54"
"ldap1","bytes_in","2.62","2015-05-12 16:59:58"
"ldap1","bytes_in","0.30","2015-05-12 17:05:02"
"ldap1","bytes_in","0.71","2015-05-12 17:10:05"
"ldap1","bytes_in","0.36","2015-05-12 17:15:09"
"ldap1","bytes_in","0.06","2015-05-12 17:20:12"
"ldap1","bytes_in","2.78","2015-05-12 17:25:16"
"ldap1","bytes_in","0.48","2015-05-12 17:30:19"
"ldap1","bytes_in","1.32","2015-05-12 17:35:23"
"ldap1","bytes_in","1.58","2015-05-12 17:40:27"
"ldap1","bytes_in","0.30","2015-05-12 17:45:30"
"ldap1","bytes_in","3.49","2015-05-12 17:50:34"
"ldap1","bytes_in","0.73","2015-05-12 17:55:37"
"ldap1","bytes_in","0.46","2015-05-12 18:00:41"
"ldap1","bytes_in","0.37","2015-05-12 18:05:45"
"ldap1","bytes_in","0.30","2015-05-12 18:10:48"
"ldap1","bytes_in","0.16","2015-05-12 18:15:52"
"ldap1","bytes_in","0.49","2015-05-12 18:20:56"
"ldap1","bytes_in","1.74","2015-05-12 18:25:59"
"ldap1","bytes_in","0.31","2015-05-12 18:31:03"
"ldap1","bytes_in","0.54","2015-05-12 18:36:06"
"ldap1","bytes_in","0.38","2015-05-12 18:41:10"
"ldap1","bytes_in","3.29","2015-05-12 18:46:14"
"ldap1","bytes_in","1.27","2015-05-12 18:51:17"
"ldap1","bytes_in","1.77","2015-05-12 18:56:21"
"ldap1","bytes_in","0.33","2015-05-12 19:01:25"
"ldap1","bytes_in","0.21","2015-05-12 19:06:29"
"ldap1","bytes_in","0.07","2015-05-12 19:11:32"
"ldap1","bytes_in","0.17","2015-05-12 19:16:36"
"ldap1","bytes_in","0.10","2015-05-12 19:21:40"
"ldap1","bytes_in","0.09","2015-05-12 19:26:45"
"ldap1","bytes_in","0.11","2015-05-12 19:31:49"
"ldap1","bytes_in","0.15","2015-05-12 19:36:52"
"ldap1","bytes_in","0.11","2015-05-12 19:41:56"
"ldap1","bytes_in","0.13","2015-05-12 19:52:03"
"ldap1","bytes_in","0.04","2015-05-12 19:57:06"
"ldap1","bytes_in","1.78","2015-05-12 20:02:11"
"ldap1","bytes_in","1.81","2015-05-12 20:07:14"
"ldap1","bytes_in","1.14","2015-05-12 20:12:18"
"ldap1","bytes_in","0.16","2015-05-12 20:17:22"
"ldap1","bytes_in","2.25","2015-05-12 20:22:25"
"ldap1","bytes_in","0.00","2015-05-12 20:27:29"
"ldap1","bytes_in","0.08","2015-05-13 6:29:28"
"ldap1","bytes_in","0.09","2015-05-13 6:34:32"
"ldap1","bytes_in","3.45","2015-05-13 6:39:37"
"ldap1","bytes_in","10.85","2015-05-13 6:44:42"
"ldap1","bytes_in","5.79","2015-05-13 6:49:52"
"ldap1","bytes_in","0.00","2015-05-13 6:54:55"
"ldap1","bytes_in","0.74","2015-05-13 9:01:21"
"ldap1","bytes_in","0.17","2015-05-13 9:06:24"
"ldap1","bytes_in","0.62","2015-05-13 9:11:28"
"ldap1","bytes_in","2.71","2015-05-13 9:16:31"
"ldap1","bytes_in","1.20","2015-05-13 9:21:35"
"ldap1","bytes_in","0.65","2015-05-13 9:26:38"
"ldap1","bytes_in","0.31","2015-05-13 9:31:42"
"ldap1","bytes_in","2.87","2015-05-13 9:36:46"
"ldap1","bytes_in","0.09","2015-05-13 9:41:49"
"ldap1","bytes_in","0.11","2015-05-13 9:51:56"
"ldap1","bytes_in","0.72","2015-05-13 9:57:00"
"ldap1","bytes_in","0.19","2015-05-13 10:02:03"
"ldap1","bytes_in","1.51","2015-05-13 10:07:07"
"ldap1","bytes_in","3.48","2015-05-13 10:12:10"
"ldap1","bytes_in","0.27","2015-05-13 10:17:14"
"ldap1","bytes_in","0.09","2015-05-13 10:22:18"
"ldap1","bytes_in","0.16","2015-05-13 10:27:22"
"ldap1","bytes_in","0.93","2015-05-13 10:32:26"
"ldap1","bytes_in","0.59","2015-05-13 10:37:30"
"ldap1","bytes_in","0.41","2015-05-13 10:42:33"
"ldap1","bytes_in","0.08","2015-05-13 10:47:37"
"ldap1","bytes_in","0.45","2015-05-13 10:52:40"
"ldap1","bytes_in","0.65","2015-05-13 10:57:44"
"ldap1","bytes_in","0.59","2015-05-13 11:02:48"
"ldap1","bytes_in","0.34","2015-05-13 11:07:51"
"ldap1","bytes_in","0.26","2015-05-13 11:12:55"
"ldap1","bytes_in","0.96","2015-05-13 11:17:58"
"ldap1","bytes_in","0.76","2015-05-13 11:23:02"
"ldap1","bytes_in","0.09","2015-05-13 11:28:06"
"ldap1","bytes_in","0.32","2015-05-13 11:33:09"
"ldap1","bytes_in","0.14","2015-05-13 11:38:13"
"ldap1","bytes_in","0.07","2015-05-13 11:43:17"
"ldap1","bytes_in","0.34","2015-05-13 11:48:20"
"ldap1","bytes_in","0.13","2015-05-13 11:53:24"
"ldap1","bytes_in","0.64","2015-05-13 12:03:32"
"ldap1","bytes_in","0.02","2015-05-13 12:08:35"
"ldap1","bytes_in","0.05","2015-05-13 12:13:39"
"ldap1","bytes_in","0.04","2015-05-13 12:18:43"
"ldap1","bytes_in","0.02","2015-05-13 12:23:46"
"ldap1","bytes_in","0.03","2015-05-13 12:28:51"
"ldap1","bytes_in","0.04","2015-05-13 12:33:54"
"ldap1","bytes_in","0.03","2015-05-13 12:38:58"
"ldap1","bytes_in","0.16","2015-05-13 12:44:01"
"ldap1","bytes_in","0.05","2015-05-13 12:49:05"
"ldap1","bytes_in","0.09","2015-05-13 12:54:09"
"ldap1","bytes_in","0.30","2015-05-13 12:59:12"
"ldap1","bytes_in","0.15","2015-05-13 13:04:17"
"ldap1","bytes_in","0.03","2015-05-13 13:09:21"
"ldap1","bytes_in","0.05","2015-05-13 13:14:24"
"ldap1","bytes_in","0.45","2015-05-13 13:19:28"
