Agente,Módulo,Datos,Fecha/Hora
"ldap1","disk_home_free","62.00","2014-08-15 21:46:45"
"ldap1","disk_home_free","62.00","2014-08-16 21:48:35"
"ldap1","disk_home_free","62.00","2014-08-17 21:49:47"
"ldap1","disk_home_free","62.00","2014-08-18 21:51:02"
"ldap1","disk_home_free","62.00","2014-08-19 21:52:24"
"ldap1","disk_home_free","62.00","2014-08-20 21:53:45"
"ldap1","disk_home_free","62.00","2014-08-21 21:55:02"
"ldap1","disk_home_free","62.00","2014-08-22 21:56:21"
"ldap1","disk_home_free","62.00","2014-08-23 21:58:07"
"ldap1","disk_home_free","62.00","2014-08-24 21:59:22"
"ldap1","disk_home_free","62.00","2014-08-25 22:00:32"
"ldap1","disk_home_free","62.00","2014-08-26 22:01:54"
"ldap1","disk_home_free","62.00","2014-08-27 22:03:24"
"ldap1","disk_home_free","62.00","2014-08-28 22:06:40"
"ldap1","disk_home_free","62.00","2014-08-29 22:08:10"
"ldap1","disk_home_free","62.00","2014-08-30 22:09:52"
"ldap1","disk_home_free","62.00","2014-08-31 22:11:27"
"ldap1","disk_home_free","62.00","2014-09-01 22:13:01"
"ldap1","disk_home_free","62.00","2014-09-02 22:14:26"
"ldap1","disk_home_free","62.00","2014-09-03 22:19:16"
"ldap1","disk_home_free","62.00","2014-09-04 22:20:35"
"ldap1","disk_home_free","62.00","2014-09-05 22:21:57"
"ldap1","disk_home_free","62.00","2014-09-06 22:23:23"
"ldap1","disk_home_free","62.00","2014-09-07 22:25:16"
"ldap1","disk_home_free","62.00","2014-09-08 22:27:03"
"ldap1","disk_home_free","62.00","2014-09-09 22:28:23"
"ldap1","disk_home_free","62.00","2014-09-10 22:29:48"
"ldap1","disk_home_free","62.00","2014-09-11 22:31:16"
"ldap1","disk_home_free","61.00","2014-09-12 13:16:21"
"ldap1","disk_home_free","60.00","2014-09-12 13:36:35"
"ldap1","disk_home_free","59.00","2014-09-12 13:51:46"
"ldap1","disk_home_free","58.00","2014-09-12 14:12:00"
"ldap1","disk_home_free","58.00","2014-09-13 14:15:00"
"ldap1","disk_home_free","58.00","2014-09-14 14:16:27"
"ldap1","disk_home_free","58.00","2014-09-15 14:17:46"
"ldap1","disk_home_free","58.00","2014-09-16 14:19:17"
"ldap1","disk_home_free","58.00","2014-09-17 14:20:37"
"ldap1","disk_home_free","57.00","2014-09-18 9:28:36"
"ldap1","disk_home_free","57.00","2014-09-19 9:30:26"
"ldap1","disk_home_free","57.00","2014-09-20 9:32:45"
"ldap1","disk_home_free","57.00","2014-09-21 9:34:17"
"ldap1","disk_home_free","57.00","2014-09-22 9:35:42"
"ldap1","disk_home_free","57.00","2014-09-23 9:37:17"
"ldap1","disk_home_free","57.00","2014-09-24 9:38:59"
"ldap1","disk_home_free","57.00","2014-09-25 9:40:35"
"ldap1","disk_home_free","57.00","2014-09-26 9:42:03"
"ldap1","disk_home_free","57.00","2014-09-27 9:43:27"
"ldap1","disk_home_free","57.00","2014-09-28 9:44:53"
"ldap1","disk_home_free","57.00","2014-09-29 9:46:20"
"ldap1","disk_home_free","57.00","2014-09-30 9:48:09"
"ldap1","disk_home_free","57.00","2014-10-01 9:50:06"
"ldap1","disk_home_free","57.00","2014-10-02 9:52:09"
